,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
0,1,1,1700,0,0,1,11,51.0,12.7,5,476,-4
1,1,1,1700,0,0,2,3,56.0,2.8,1,472,0
2,1,1,1700,0,0,3,10,53.0,5.4,3,468,6
3,1,1,1700,0,0,4,5,53.0,28.1,7,468,-4
4,1,1,1700,0,0,5,7,56.0,66.1,11,504,26
5,1,1,1700,0,0,6,12,56.0,9.3,4,482,4
6,1,1,1700,0,0,7,8,56.0,3.0,2,522,-2
7,1,1,1700,0,0,8,1,56.0,40.1,8,482,0
8,1,1,1700,0,0,9,14,56.0,19.6,6,454,-4
9,1,1,1700,0,0,10,6,56.0,64.9,10,448,0
10,1,1,1700,0,0,11,2,54.0,83.4,12,446,-8
11,1,1,1700,0,0,12,4,53.0,47.1,9,456,-6
12,1,1,1700,0,0,13,15,54.0,116.2,14,434,-4
13,1,1,1700,0,0,14,9,54.0,108.5,13,474,-4
14,1,1,1700,0,0,15,13,56.0,203.2,15,458,-8
15,2,0,1200,0,0,1,1,53.0,26.2,8,476,0
16,2,0,1200,0,0,2,3,54.0,7.6,3,406,-16
17,2,0,1200,0,0,3,12,56.0,1.8,1,470,-6
18,2,0,1200,0,0,4,14,53.0,7.3,2,438,0
19,2,0,1200,0,0,5,9,54.0,10.1,4,478,2
20,2,0,1200,0,0,6,6,51.0,14.3,5,418,8
21,2,0,1200,0,0,7,7,54.0,16.1,6,432,-8
22,2,0,1200,0,0,8,10,52.0,23.6,7,470,0
23,2,0,1200,0,0,9,2,51.0,73.8,13,482,2
24,2,0,1200,0,0,10,8,56.0,211.4,16,448,0
25,2,0,1200,0,0,11,16,56.0,44.9,10,396,-20
26,2,0,1200,0,0,12,4,54.0,56.5,12,460,22
27,2,0,1200,0,0,13,11,51.0,88.1,14,406,0
28,2,0,1200,0,0,14,5,54.0,30.8,9,398,0
29,2,0,1200,0,0,15,13,56.0,160.6,15,468,0
30,2,0,1200,0,0,16,15,51.0,50.3,11,428,0
31,3,1,1700,0,0,1,9,52.0,6.5,5,456,2
32,3,1,1700,0,0,2,8,53.0,4.4,3,438,0
33,3,1,1700,0,0,3,6,52.0,24.3,7,458,-4
34,3,1,1700,0,0,4,5,54.0,4.3,1,488,10
35,3,1,1700,0,0,5,3,55.0,42.2,10,452,-2
36,3,1,1700,0,0,6,1,52.0,25.1,8,482,-6
37,3,1,1700,0,0,7,4,52.0,4.4,2,446,-4
38,3,1,1700,0,0,8,10,55.0,5.2,4,500,0
39,3,1,1700,0,0,9,2,55.0,104.1,12,420,-14
40,3,1,1700,0,0,10,14,55.0,107.5,13,454,-8
41,3,1,1700,0,0,11,11,55.0,39.4,9,412,-14
42,3,1,1700,0,0,12,7,55.0,200.7,14,440,-10
43,3,1,1700,0,0,13,12,55.0,18.1,6,440,-2
44,3,1,1700,0,0,14,13,55.0,49.0,11,442,-17
45,6,1,1700,0,0,1,8,53.0,6.6,3,508,-6
46,6,1,1700,0,0,2,4,54.0,1.5,1,488,-2
47,6,1,1700,0,0,3,6,56.0,83.5,10,508,-4
48,6,1,1700,0,0,4,9,54.0,13.6,4,526,10
49,6,1,1700,0,0,5,12,54.0,5.2,2,482,-4
50,6,1,1700,0,0,6,13,54.0,40.5,8,436,-4
51,6,1,1700,0,0,7,2,54.0,95.2,11,520,4
52,6,1,1700,0,0,8,7,54.0,36.9,7,466,-2
53,6,1,1700,0,0,9,3,54.0,134.5,13,484,4
54,6,1,1700,0,0,10,11,54.0,26.9,6,510,-8
55,6,1,1700,0,0,11,10,57.0,45.9,9,490,-2
56,6,1,1700,0,0,12,1,57.0,26.2,5,504,-8
57,6,1,1700,0,0,13,5,57.0,108.9,12,438,-4
58,7,1,1150,0,0,1,13,54.0,2.5,1,496,-8
59,7,1,1150,0,0,2,12,52.0,8.4,4,416,2
60,7,1,1150,0,0,3,16,54.0,5.3,2,468,-6
61,7,1,1150,0,0,4,14,51.0,8.7,5,428,-16
62,7,1,1150,0,0,5,5,51.0,14.8,7,414,6
63,7,1,1150,0,0,6,2,54.0,262.2,15,400,-8
64,7,1,1150,0,0,7,3,51.0,18.3,8,428,2
65,7,1,1150,0,0,8,6,54.0,34.3,9,396,-8
66,7,1,1150,0,0,9,1,51.0,5.7,3,472,-2
67,7,1,1150,0,0,10,4,54.0,113.7,12,408,12
