,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
0,1,1,1200,0,0,1,14,56.0,2.3,1,486,2
1,1,1,1200,0,0,2,16,56.0,5.2,2,458,4
2,1,1,1200,0,0,3,1,56.0,8.2,5,466,-2
3,1,1,1200,0,0,4,5,56.0,7.5,4,470,-6
4,1,1,1200,0,0,5,2,56.0,18.2,7,440,-4
5,1,1,1200,0,0,6,6,56.0,47.8,9,430,4
6,1,1,1200,0,0,7,4,56.0,101.9,10,462,-6
7,1,1,1200,0,0,8,13,56.0,23.3,8,462,-2
8,1,1,1200,0,0,9,11,54.0,352.8,14,470,0
9,1,1,1200,0,0,10,9,54.0,102.6,11,434,0
10,1,1,1200,0,0,11,7,53.0,17.0,6,414,-2
11,1,1,1200,0,0,12,3,56.0,5.8,3,460,2
12,1,1,1200,0,0,13,12,53.0,440.6,15,410,0
13,1,1,1200,0,0,14,8,56.0,499.6,16,410,8
14,1,1,1200,0,0,15,15,54.0,205.1,13,466,8
15,1,1,1200,0,0,16,10,56.0,171.2,12,494,0
16,2,1,1800,0,0,1,9,56.0,4.7,2,476,-6
17,2,1,1800,0,0,2,3,56.0,79.1,9,472,-8
18,2,1,1800,0,0,3,1,56.0,1.3,1,492,-2
19,2,1,1800,0,0,4,14,54.0,6.9,3,432,-12
20,2,1,1800,0,0,5,6,56.0,372.1,15,442,-8
21,2,1,1800,0,0,6,12,56.0,27.7,4,480,-4
22,2,1,1800,0,0,7,8,56.0,42.4,6,450,0
23,2,1,1800,0,0,8,4,56.0,164.7,12,502,-4
24,2,1,1800,0,0,9,2,56.0,165.1,13,454,-5
25,2,1,1800,0,0,10,7,56.0,34.2,5,464,9
26,2,1,1800,0,0,11,13,53.0,155.3,11,466,-14
27,2,1,1800,0,0,12,11,55.0,61.0,8,478,0
28,2,1,1800,0,0,13,5,51.0,277.4,14,450,-10
29,2,1,1800,0,0,14,10,56.0,59.3,7,460,-2
30,2,1,1800,0,0,15,15,56.0,80.9,10,430,-2
31,3,1,1200,0,0,1,15,56.0,2.0,1,492,0
32,3,1,1200,0,0,2,9,56.0,3.0,2,494,0
33,3,1,1200,0,0,3,5,56.0,10.2,4,522,0
34,3,1,1200,0,0,4,14,56.0,25.3,7,506,0
35,3,1,1200,0,0,5,2,54.0,114.9,11,466,0
36,3,1,1200,0,0,6,12,56.0,14.4,5,482,0
37,3,1,1200,0,0,7,13,56.0,23.6,6,436,0
38,3,1,1200,0,0,8,8,54.0,36.0,8,438,0
39,3,1,1200,0,0,9,3,56.0,97.1,10,444,0
40,3,1,1200,0,0,10,11,54.0,314.5,15,476,0
41,3,1,1200,0,0,11,7,54.0,9.7,3,478,0
42,3,1,1200,0,0,12,6,54.0,257.9,14,484,0
43,3,1,1200,0,0,13,10,53.0,84.9,9,486,0
44,3,1,1200,0,0,14,16,54.0,215.4,12,418,0
45,3,1,1200,0,0,15,4,54.0,393.4,16,422,0
46,3,1,1200,0,0,16,1,54.0,244.3,13,370,0
47,4,0,2000,0,0,1,8,56.0,2.5,2,454,10
48,4,0,2000,0,0,2,10,55.0,39.8,5,426,-4
49,4,0,2000,0,0,3,11,56.0,4.9,3,472,0
50,4,0,2000,0,0,4,4,56.0,1.8,1,432,2
51,4,0,2000,0,0,5,7,56.0,41.7,6,422,-6
