,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
0,1,1,1700,1,1,1,5,54.0,1.9,1,466,-2
1,1,1,1700,1,1,2,1,54.0,3.1,2,470,-2
2,1,1,1700,1,1,3,4,54.0,88.1,12,448,-16
3,1,1,1700,1,1,4,12,54.0,41.7,8,438,-6
4,1,1,1700,1,1,5,11,54.0,6.9,3,512,0
5,1,1,1700,1,1,6,14,54.0,14.1,4,430,-2
6,1,1,1700,1,1,7,6,51.0,72.6,11,452,-8
7,1,1,1700,1,1,8,13,53.0,50.5,9,476,-8
8,1,1,1700,1,1,9,10,54.0,19.1,5,444,8
9,1,1,1700,1,1,10,7,51.0,280.2,15,416,-8
10,1,1,1700,1,1,11,2,54.0,95.8,13,450,4
11,1,1,1700,1,1,12,8,51.0,62.4,10,456,-2
12,1,1,1700,1,1,13,9,54.0,36.9,7,478,-8
13,1,1,1700,1,1,14,3,54.0,226.2,14,478,2
14,1,1,1700,1,1,15,16,54.0,31.0,6,478,-6
15,2,1,1000,1,1,1,6,53.0,2.7,1,466,0
16,2,1,1000,1,1,2,4,51.0,5.8,4,466,-6
17,2,1,1000,1,1,3,5,56.0,52.6,8,480,-2
18,2,1,1000,1,1,4,8,56.0,3.4,2,494,-8
19,2,1,1000,1,1,5,10,56.0,4.2,3,456,-6
20,2,1,1000,1,1,6,9,53.0,22.0,6,448,-4
21,2,1,1000,1,1,7,14,53.0,88.3,9,450,-6
22,2,1,1000,1,1,8,1,51.0,103.8,10,406,-6
23,2,1,1000,1,1,9,2,54.0,136.0,11,472,-18
24,2,1,1000,1,1,10,12,54.0,16.2,5,430,-8
25,2,1,1000,1,1,11,11,56.0,41.7,7,524,20
26,2,1,1000,1,1,12,7,54.0,190.6,14,438,6
27,2,1,1000,1,1,13,3,54.0,170.2,13,448,6
28,2,1,1000,1,1,14,13,54.0,162.0,12,410,0
29,3,0,1200,1,1,1,4,56.0,4.0,2,494,0
30,3,0,1200,1,1,2,12,51.0,5.7,3,458,0
31,3,0,1200,1,1,3,1,56.0,11.0,4,454,10
32,3,0,1200,1,1,4,6,56.0,20.9,6,478,0
33,3,0,1200,1,1,5,13,54.0,25.9,8,410,0
34,3,0,1200,1,1,6,15,56.0,2.3,1,404,4
35,3,0,1200,1,1,7,3,54.0,33.5,9,484,14
36,3,0,1200,1,1,8,16,51.0,40.9,10,404,16
37,3,0,1200,1,1,9,11,54.0,58.2,11,398,-6
38,3,0,1200,1,1,10,14,54.0,69.4,12,418,2
39,3,0,1200,1,1,11,7,54.0,23.0,7,404,4
40,3,0,1200,1,1,12,2,53.0,403.8,16,418,0
41,3,0,1200,1,1,13,8,56.0,15.4,5,476,-4
42,3,0,1200,1,1,14,18,54.0,530.9,18,444,6
43,3,0,1200,1,1,15,17,51.0,71.3,13,384,-8
44,3,0,1200,1,1,16,9,54.0,431.2,17,414,0
45,3,0,1200,1,1,17,5,54.0,393.9,15,432,-22
46,3,0,1200,1,1,18,10,56.0,129.0,14,476,6
47,4,0,2000,1,1,1,11,56.0,1.5,1,484,-10
48,4,0,2000,1,1,2,7,56.0,5.5,2,478,-8
49,4,0,2000,1,1,3,5,56.0,8.8,4,478,-6
50,4,0,2000,1,1,4,4,54.0,14.4,5,456,-4
51,4,0,2000,1,1,5,6,56.0,8.4,3,532,-12
52,4,0,2000,1,1,6,14,56.0,62.7,8,472,8
53,4,0,2000,1,1,7,10,56.0,36.3,7,500,-4
54,4,0,2000,1,1,8,12,53.0,396.6,13,450,2
55,4,0,2000,1,1,9,9,55.0,444.6,14,474,2
56,4,0,2000,1,1,10,16,51.0,448.7,15,452,-4
57,4,0,2000,1,1,11,15,56.0,14.5,6,456,0
58,4,0,2000,1,1,12,2,54.0,314.4,11,436,-2
59,4,0,2000,1,1,13,1,54.0,172.6,10,438,6
60,4,0,2000,1,1,14,8,54.0,137.5,9,426,12
61,4,0,2000,1,1,15,13,51.0,379.3,12,418,-6
62,4,0,2000,1,1,16,3,54.0,589.2,16,434,-10
63,5,1,1000,1,1,1,9,54.0,6.6,3,474,2
64,5,1,1000,1,1,2,13,52.0,28.6,7,442,4
65,5,1,1000,1,1,3,1,57.0,7.0,4,474,-8
66,5,1,1000,1,1,4,8,57.0,28.4,6,510,12
67,5,1,1000,1,1,5,3,55.0,147.3,13,450,-10
68,5,1,1000,1,1,6,6,56.0,28.8,8,502,14
69,5,1,1000,1,1,7,10,52.0,116.0,12,444,-10
70,5,1,1000,1,1,8,2,55.0,1.8,1,484,8
71,5,1,1000,1,1,9,5,55.0,79.8,10,488,-8
72,5,1,1000,1,1,10,12,56.0,89.2,11,486,-2
73,5,1,1000,1,1,11,4,54.0,10.2,5,482,4
74,5,1,1000,1,1,12,11,57.0,76.5,9,476,2
75,5,1,1000,1,1,13,7,55.0,5.7,2,468,18
76,6,0,1800,1,1,1,6,52.0,19.0,6,510,-4
77,6,0,1800,1,1,2,2,55.0,4.9,3,434,2
78,6,0,1800,1,1,3,1,55.0,29.7,10,438,6
79,6,0,1800,1,1,4,8,54.0,21.5,9,484,10
80,6,0,1800,1,1,5,11,52.0,16.4,5,438,0
81,6,0,1800,1,1,6,15,55.0,19.0,7,488,10
82,6,0,1800,1,1,7,10,55.0,20.7,8,410,-4
83,6,0,1800,1,1,8,3,55.0,192.8,13,454,-6
84,6,0,1800,1,1,9,13,55.0,3.4,2,442,-12
85,6,0,1800,1,1,10,14,54.0,2.9,1,468,-8
86,6,0,1800,1,1,11,9,55.0,73.1,11,432,2
87,6,0,1800,1,1,12,7,54.0,11.3,4,472,24
88,6,0,1800,1,1,13,4,54.0,293.6,14,440,-8
89,6,0,1800,1,1,14,12,55.0,328.3,15,428,2
90,6,0,1800,1,1,15,5,54.0,85.4,12,436,-6
91,7,0,1200,1,1,1,1,55.0,2.5,1,446,2
92,7,0,1200,1,1,2,4,57.0,30.5,9,476,-6
93,7,0,1200,1,1,3,3,55.0,10.3,4,482,12
94,7,0,1200,1,1,4,2,57.0,4.9,2,512,-8
95,7,0,1200,1,1,5,10,57.0,12.4,5,460,12
96,7,0,1200,1,1,6,16,57.0,97.9,15,520,12
97,7,0,1200,1,1,7,5,57.0,15.2,7,448,6
98,7,0,1200,1,1,8,6,55.0,12.6,6,486,4
99,7,0,1200,1,1,9,8,55.0,55.4,13,418,4
100,7,0,1200,1,1,10,11,55.0,79.0,14,450,6
101,7,0,1200,1,1,11,17,57.0,41.6,11,464,4
102,7,0,1200,1,1,12,18,55.0,7.8,3,480,10
103,7,0,1200,1,1,13,12,55.0,559.6,18,488,4
104,7,0,1200,1,1,14,13,54.0,179.1,16,480,2
105,7,0,1200,1,1,15,7,57.0,26.7,8,462,-2
106,7,0,1200,1,1,16,15,54.0,47.5,12,478,9
107,7,0,1200,1,1,17,9,57.0,209.8,17,474,18
