,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
0,1,0,1800,0,0,1,1,54.0,1.1,1,458,4
1,1,0,1800,0,0,2,6,54.0,7.6,2,488,6
2,1,0,1800,0,0,3,3,54.0,8.3,3,480,-6
3,1,0,1800,0,0,4,4,54.0,46.7,5,460,-8
4,1,0,1800,0,0,5,5,52.0,39.8,4,470,-8
5,1,0,1800,0,0,6,2,54.0,50.8,6,468,-12
6,2,1,1000,0,0,1,3,54.0,2.1,1,456,-6
7,2,1,1000,0,0,2,7,54.0,3.6,2,470,0
8,2,1,1000,0,0,3,5,54.0,113.9,10,462,14
9,2,1,1000,0,0,4,10,52.0,29.4,7,408,-4
10,2,1,1000,0,0,5,8,54.0,9.9,4,458,-10
11,2,1,1000,0,0,6,9,54.0,183.7,12,442,0
12,2,1,1000,0,0,7,12,54.0,5.3,3,440,-8
13,2,1,1000,0,0,8,11,54.0,37.6,8,456,2
14,2,1,1000,0,0,9,4,54.0,12.4,5,476,2
15,2,1,1000,0,0,10,6,54.0,180.5,11,402,-10
16,2,1,1000,0,0,11,2,52.0,72.2,9,436,-2
17,2,1,1000,0,0,12,1,54.0,22.2,6,440,-8
18,3,1,2400,0,0,1,3,52.0,3.3,1,454,4
19,3,1,2400,0,0,2,1,56.0,27.8,7,478,0
20,3,1,2400,0,0,3,7,56.0,10.8,5,532,0
21,3,1,2400,0,0,4,5,56.0,3.8,3,486,-14
22,3,1,2400,0,0,5,2,54.0,47.0,10,430,-4
23,3,1,2400,0,0,6,4,55.0,27.9,9,450,-8
24,3,1,2400,0,0,7,10,55.0,27.9,8,514,-4
25,3,1,2400,0,0,8,6,56.0,8.4,4,478,-6
26,3,1,2400,0,0,9,9,56.0,3.5,2,468,-2
27,3,1,2400,0,0,10,8,56.0,14.7,6,478,2
28,4,1,1700,0,0,1,14,54.0,4.3,2,438,-20
29,4,1,1700,0,0,2,7,56.0,2.3,1,456,-8
30,4,1,1700,0,0,3,8,54.0,13.4,4,422,0
31,4,1,1700,0,0,4,3,56.0,17.4,7,466,-10
32,4,1,1700,0,0,5,11,54.0,16.0,5,448,-4
33,4,1,1700,0,0,6,12,54.0,302.2,13,470,-12
34,4,1,1700,0,0,7,10,56.0,41.5,10,514,-4
35,4,1,1700,0,0,8,6,56.0,16.3,6,458,-6
36,4,1,1700,0,0,9,5,54.0,34.5,9,494,6
37,4,1,1700,0,0,10,1,54.0,4.9,3,508,0
38,4,1,1700,0,0,11,4,51.0,59.4,12,420,-8
39,4,1,1700,0,0,12,13,54.0,23.5,8,450,14
40,4,1,1700,0,0,13,2,56.0,46.1,11,534,-8
41,4,1,1700,0,0,14,9,55.0,590.8,14,440,-4
42,5,0,1500,0,0,1,13,54.0,5.2,2,434,0
43,5,0,1500,0,0,2,10,54.0,1.7,1,430,0
44,5,0,1500,0,0,3,5,54.0,5.5,3,476,0
45,5,0,1500,0,0,4,8,54.0,20.5,5,500,0
46,5,0,1500,0,0,5,1,54.0,11.9,4,516,0
47,5,0,1500,0,0,6,3,52.0,124.6,10,464,0
48,5,0,1500,0,0,7,11,52.0,89.1,8,502,0
