iter	RMSE
0	0.2545240146
1	0.252158879
2	0.2498246461
3	0.2475991812
4	0.2455014739
5	0.2435024466
6	0.2415825297
7	0.2397155677
8	0.2380468786
9	0.2364442628
10	0.2349175127
11	0.2334525448
12	0.232021654
13	0.2306499787
14	0.2293531341
15	0.2281319891
16	0.226985175
17	0.2258740818
18	0.2248219449
19	0.223834542
20	0.2229331524
21	0.2220314916
22	0.221155959
23	0.2203784416
24	0.2196032899
25	0.2188500868
26	0.2181492121
27	0.2175105092
28	0.2169017912
29	0.2163166861
30	0.2157989939
31	0.2152761174
32	0.2147803293
33	0.2142793293
34	0.2138084205
35	0.2133712341
36	0.2129637023
37	0.2125454341
38	0.2121677479
39	0.2118268496
40	0.2114722775
41	0.2111850597
42	0.2108619286
43	0.2105563043
44	0.2102849591
45	0.2100378097
46	0.2097889444
47	0.209545763
48	0.2093119896
49	0.2090903984
50	0.208890601
51	0.2087111028
52	0.2085287955
53	0.2083480308
54	0.2081759902
55	0.2080037548
56	0.2078484517
57	0.2077093903
58	0.2075752288
59	0.2074399342
60	0.2073091926
61	0.2071981807
62	0.2070756851
63	0.2069685502
64	0.2068636968
65	0.2067614215
66	0.2066581805
67	0.2065659121
68	0.2064678195
69	0.2063830993
70	0.2063142121
71	0.2062373689
72	0.2061665307
73	0.2060953531
74	0.2060225668
75	0.2059715071
76	0.2059153408
77	0.2058612866
78	0.2057991055
79	0.2057396805
80	0.2056839402
81	0.2056280203
82	0.2055758037
83	0.2055329398
84	0.2054849844
85	0.2054391896
86	0.2053932915
87	0.2053451319
88	0.2053067103
89	0.2052692102
90	0.2052335499
91	0.2051946982
92	0.2051589573
93	0.2051208857
94	0.2050917235
95	0.205054021
96	0.2050189439
97	0.2049908911
98	0.2049608372
99	0.204934969
100	0.2049128386
101	0.2048790017
102	0.2048537215
103	0.2048293456
104	0.2048023915
105	0.2047721068
106	0.2047473733
107	0.204727833
108	0.2047084548
109	0.2046862026
110	0.2046674022
111	0.2046444585
112	0.2046190626
113	0.2045983733
114	0.2045818165
115	0.2045617413
116	0.2045455112
117	0.2045313007
118	0.204512911
119	0.2044969347
120	0.2044801182
121	0.2044644594
122	0.2044474365
123	0.2044298684
124	0.2044157646
125	0.2043945171
126	0.2043717511
127	0.2043550466
128	0.2043374812
129	0.2043256783
130	0.2043104362
131	0.2042946659
132	0.2042832664
133	0.2042679402
134	0.2042573828
135	0.2042434524
136	0.2042349256
137	0.2042212946
138	0.2042103752
139	0.2042012668
140	0.2041915907
141	0.2041768281
142	0.2041624056
143	0.2041533108
144	0.2041339456
145	0.2041192567
146	0.2041059365
147	0.2040892037
148	0.2040781524
149	0.2040654055
150	0.2040536023
151	0.2040411251
152	0.2040298967
153	0.2040083742
154	0.2039922354
155	0.203982029
156	0.2039661401
157	0.2039536236
158	0.203942317
159	0.2039351134
160	0.2039235869
161	0.203906662
162	0.2038960349
163	0.2038828024
164	0.2038767174
165	0.2038640529
166	0.2038483324
167	0.2038340856
168	0.2038268683
169	0.20381857
170	0.2038129641
171	0.2038030479
172	0.20378791
173	0.2037787132
174	0.2037593951
175	0.2037492235
176	0.2037314362
177	0.2037212454
178	0.2037119856
179	0.2036985952
180	0.20368959
181	0.2036808811
182	0.2036628607
183	0.203653306
184	0.2036426576
185	0.203632826
186	0.2036228289
187	0.2036108463
188	0.2036007697
189	0.2035854096
190	0.2035764374
191	0.2035631617
192	0.2035579848
193	0.2035532449
194	0.2035366734
195	0.2035352066
196	0.2035229213
197	0.2035171355
198	0.2035112543
199	0.2034880319
200	0.2034739194
201	0.2034665977
202	0.2034559136
203	0.2034452993
204	0.2034399045
205	0.2034259038
206	0.2034129958
207	0.2034046098
208	0.203382918
209	0.2033749799
210	0.2033664319
211	0.2033589034
212	0.2033520704
213	0.2033435849
214	0.203336253
215	0.2033320268
216	0.2033263169
217	0.2033174345
218	0.2033083896
219	0.2033049755
220	0.2032973639
221	0.2032893992
222	0.2032829482
223	0.2032766147
224	0.2032683103
225	0.2032558639
226	0.2032495816
227	0.2032426244
228	0.2032258682
229	0.2032189747
230	0.2032108803
231	0.2032046173
232	0.2031976361
233	0.2031885328
234	0.2031676133
235	0.2031495347
236	0.203143479
237	0.2031337052
238	0.2031289356
239	0.2031184148
240	0.2031034138
241	0.2030909333
242	0.2030842806
243	0.2030781383
244	0.203069129
245	0.2030616178
246	0.2030532036
247	0.2030446354
248	0.2030373441
249	0.2030317936
250	0.2030261102
251	0.2030193866
252	0.2030131419
253	0.2030079824
254	0.20299849
255	0.2029938774
256	0.2029904196
257	0.2029872752
258	0.2029836954
259	0.2029751362
260	0.2029641554
261	0.2029527018
262	0.2029431839
263	0.2029333055
264	0.2029289468
265	0.2029269411
266	0.2029179333
267	0.2029137689
268	0.2029060465
269	0.2028979594
270	0.2028920075
271	0.202883088
272	0.2028785109
273	0.2028718006
274	0.2028682096
275	0.2028581186
276	0.2028493544
277	0.2028405511
278	0.2028331088
279	0.2028270419
280	0.2028199181
281	0.2028185058
282	0.202809264
283	0.2028017041
284	0.2028001285
285	0.2027887552
286	0.2027852442
287	0.2027707284
288	0.2027679591
289	0.2027620924
290	0.202753897
291	0.2027476867
292	0.2027432109
293	0.2027345008
294	0.2027302956
295	0.2027235692
296	0.2027184361
297	0.2027137953
298	0.2027072603
299	0.2027023572
300	0.2026972215
301	0.2026915064
302	0.2026805095
303	0.2026674189
304	0.2026625124
305	0.2026567001
306	0.2026498478
307	0.2026424034
308	0.2026376024
309	0.202631197
310	0.2026219287
311	0.2026144961
312	0.2026042058
313	0.2026008647
314	0.2025969737
315	0.2025909178
316	0.2025868265
317	0.2025761861
318	0.2025667981
319	0.2025645672
320	0.2025554981
321	0.2025529508
322	0.2025443869
323	0.2025346784
324	0.2025298876
325	0.2025214124
326	0.2025096812
327	0.2025018833
328	0.2024994262
329	0.2024934387
330	0.2024880996
331	0.2024865341
332	0.2024778628
333	0.2024697332
334	0.2024624846
335	0.2024601589
336	0.2024533041
337	0.2024409723
338	0.2024350393
339	0.2024247622
340	0.2024167937
341	0.2024064122
342	0.2023953122
343	0.2023846762
344	0.2023762251
345	0.2023679859
346	0.2023633372
347	0.202356738
348	0.2023500743
349	0.2023478472
350	0.2023448107
351	0.2023415034
352	0.2023360977
353	0.2023324247
354	0.2023229707
355	0.2023116612
356	0.2023082756
357	0.2022983612
358	0.2022904994
359	0.2022856663
360	0.2022776928
361	0.2022695449
362	0.2022627264
363	0.2022603531
364	0.2022564445
365	0.202253191
366	0.2022437748
367	0.2022423324
368	0.2022272939
369	0.2022170024
370	0.202206172
371	0.202202291
372	0.2021938327
373	0.2021848154
374	0.2021797014
375	0.2021692745
376	0.2021666446
377	0.2021572112
378	0.2021485267
379	0.2021458119
380	0.2021405027
381	0.2021336938
382	0.2021281346
383	0.2021127274
384	0.2021088008
385	0.2021039092
386	0.2020991251
387	0.2020946399
388	0.2020826738
389	0.2020686513
390	0.2020579072
391	0.2020504644
392	0.2020493665
393	0.2020407472
394	0.2020316564
395	0.2020249753
396	0.2020155049
397	0.2020108342
398	0.2020067583
399	0.2019939798
400	0.2019843512
401	0.2019830955
402	0.2019771327
403	0.201973049
404	0.201967498
405	0.2019666178
406	0.2019642658
407	0.2019558982
408	0.2019545042
409	0.2019491987
410	0.2019431191
411	0.2019388616
412	0.2019362995
413	0.2019344561
414	0.2019327822
415	0.2019277424
416	0.2019257978
417	0.2019219567
418	0.2019202837
419	0.2019153972
420	0.2019062936
421	0.2019046335
422	0.2019016506
423	0.2018992985
424	0.2018986075
425	0.2018908201
426	0.2018884459
427	0.2018868381
428	0.2018859817
429	0.2018806117
430	0.2018792848
431	0.2018783328
432	0.2018664017
433	0.2018636108
434	0.2018621141
435	0.2018616165
436	0.2018500582
437	0.2018447807
438	0.2018423709
439	0.2018386818
440	0.2018170372
441	0.2018094285
442	0.2018030921
443	0.2017936704
444	0.201775283
445	0.2017743709
446	0.201760536
447	0.2017526726
448	0.2017490427
449	0.2017364875
450	0.201721127
451	0.2017132076
452	0.2017069285
453	0.2017019105
454	0.2016986752
455	0.2016886923
456	0.20168759
457	0.2016869166
458	0.2016768997
459	0.2016691916
460	0.2016630158
461	0.2016613173
462	0.2016549257
463	0.2016409886
464	0.2016318066
465	0.2016309498
466	0.2016294398
467	0.2016289109
468	0.2016271463
469	0.2016266456
470	0.2016260146
471	0.2016247506
472	0.2016151454
473	0.2016045173
474	0.2015999526
475	0.2015987953
476	0.2015904073
477	0.2015898723
478	0.2015766636
479	0.2015720667
480	0.2015620392
481	0.2015512138
482	0.2015412147
483	0.2015405873
484	0.2015302842
485	0.2015268294
486	0.2015166814
487	0.2015162609
488	0.2015090541
489	0.201497519
490	0.2014928606
491	0.2014826716
492	0.2014823396
493	0.2014819151
494	0.2014693372
495	0.2014545403
496	0.2014536221
497	0.2014532169
498	0.2014397554
499	0.2014300939
500	0.2014253132
501	0.2014125067
502	0.2014055485
503	0.2013971117
504	0.2013877209
505	0.2013869641
506	0.2013718718
507	0.2013646729
508	0.2013640987
509	0.2013527608
510	0.2013411872
511	0.201339238
512	0.2013377436
513	0.2013349439
514	0.2013290171
515	0.2013285099
516	0.2013135153
517	0.2013036151
518	0.2012904518
519	0.2012811815
520	0.2012643369
521	0.2012538397
522	0.2012439133
523	0.2012388701
524	0.2012342654
525	0.2012213158
526	0.2012210571
527	0.2012205927
528	0.2012200594
529	0.2012094699
530	0.2011990048
531	0.2011803496
532	0.2011689236
533	0.2011550774
534	0.2011450257
535	0.2011432672
536	0.2011371196
537	0.201127296
538	0.2011201934
539	0.2011182049
540	0.2011092683
541	0.2010975244
542	0.2010908351
543	0.2010900994
544	0.2010844779
545	0.2010792998
546	0.2010786573
547	0.2010674364
548	0.2010577574
549	0.2010494449
550	0.2010436797
551	0.2010315837
552	0.20103115
553	0.2010220585
554	0.2010164033
555	0.2010088098
556	0.201000324
557	0.2009884209
558	0.2009733115
559	0.2009662123
560	0.2009585691
561	0.2009471832
562	0.2009419599
563	0.2009342379
564	0.2009234301
565	0.2009230884
566	0.2009228012
567	0.2009114742
568	0.2009003144
569	0.2008952055
570	0.2008819436
571	0.2008758917
572	0.2008755183
573	0.2008750018
574	0.2008743336
575	0.2008585801
576	0.2008503952
577	0.2008349098
578	0.2008296385
579	0.2008212353
580	0.2008148031
581	0.2008072148
582	0.2007960162
583	0.2007955062
584	0.200790677
585	0.2007899025
586	0.2007789683
587	0.2007707123
588	0.2007601524
589	0.2007499591
590	0.200749691
591	0.200738744
592	0.2007381056
593	0.2007277459
594	0.2007274289
595	0.2007147426
596	0.2007035637
597	0.2007021645
598	0.2006873036
599	0.200680468
600	0.2006701079
601	0.2006698878
602	0.2006545184
603	0.2006432147
604	0.2006345702
605	0.2006342135
606	0.2006270446
607	0.2006163026
608	0.2006038227
609	0.2005974735
610	0.2005819997
611	0.2005719275
612	0.2005716885
613	0.2005543965
614	0.200546942
615	0.2005381019
616	0.20052705
617	0.2005258867
618	0.2005198613
619	0.2005146647
620	0.2005069908
621	0.2005042553
622	0.2004995925
623	0.2004908515
624	0.2004827451
625	0.2004739786
626	0.2004736877
627	0.2004727589
628	0.2004664773
629	0.2004604148
630	0.2004547802
631	0.2004470921
632	0.200436055
633	0.2004336305
634	0.2004282379
635	0.2004126483
636	0.2004037213
637	0.2004035416
638	0.2003911917
639	0.2003760362
640	0.200371556
641	0.2003650294
642	0.2003586005
643	0.2003477234
644	0.2003364767
645	0.2003357646
646	0.2003244995
647	0.2003143323
648	0.2003030543
649	0.2002887391
650	0.2002841068
651	0.2002747995
652	0.2002651333
653	0.2002515333
654	0.2002402418
655	0.2002297679
656	0.2002239656
657	0.2002195681
658	0.2002194044
659	0.2002042032
660	0.2002037404
661	0.200195528
662	0.2001846306
663	0.2001736703
664	0.2001670073
665	0.2001555841
666	0.2001439992
667	0.2001385273
668	0.2001291091
669	0.2001174135
670	0.2001166232
671	0.200109394
672	0.2001013221
673	0.2000950959
674	0.200087599
675	0.2000775302
676	0.2000643662
677	0.2000546027
678	0.2000461988
679	0.2000391481
680	0.200038762
681	0.2000287452
682	0.2000284571
683	0.2000191764
684	0.2000142016
685	0.2000045116
686	0.1999903334
687	0.1999852588
688	0.1999765712
689	0.1999755166
690	0.1999683629
691	0.1999587345
692	0.1999584739
693	0.199951379
694	0.199943825
695	0.1999373809
696	0.1999301365
697	0.1999248344
698	0.1999182987
699	0.1999112518
700	0.1999109773
701	0.1999055022
702	0.1998944935
703	0.1998893984
704	0.1998892176
705	0.1998719606
706	0.1998660787
707	0.1998548617
708	0.1998524854
709	0.1998472055
710	0.1998378986
711	0.1998288057
712	0.1998171095
713	0.1998115888
714	0.1998095757
715	0.1998093661
716	0.1998044157
717	0.1997910063
718	0.199785039
719	0.1997713703
720	0.1997584766
721	0.1997549472
722	0.1997502644
723	0.1997496422
724	0.1997354256
725	0.1997315261
726	0.1997173989
727	0.1997086525
728	0.1997046024
729	0.1997028978
730	0.199694963
731	0.1996870877
732	0.1996859733
733	0.1996794205
734	0.1996708639
735	0.1996645182
736	0.1996575597
737	0.1996573936
738	0.1996406601
739	0.1996322253
740	0.1996249733
741	0.199612782
742	0.1996037213
743	0.1996035543
744	0.1995981429
745	0.1995978383
746	0.1995859741
747	0.1995780956
748	0.1995671403
749	0.1995557539
750	0.199550723
751	0.199550433
752	0.1995440977
753	0.1995389981
754	0.1995322002
755	0.1995169062
756	0.1995111742
757	0.1995013395
758	0.1994954473
759	0.1994892557
760	0.1994778809
761	0.1994699956
762	0.1994606091
763	0.1994532515
764	0.1994411039
765	0.199430411
766	0.1994192436
767	0.199408169
768	0.1994079454
769	0.1993953588
770	0.1993875269
771	0.1993801925
772	0.1993799975
773	0.199372608
774	0.1993625226
775	0.1993537163
776	0.1993517002
777	0.1993397709
778	0.1993320242
779	0.1993215129
