iter	Passed	Remaining
0	5	5206
1	8	4474
2	13	4621
3	18	4544
4	22	4492
5	26	4455
6	31	4427
7	35	4413
8	39	4403
9	44	4381
10	48	4368
11	52	4355
12	58	4425
13	63	4485
14	68	4515
15	73	4548
16	78	4526
17	82	4503
18	86	4482
19	91	4463
20	95	4443
21	99	4432
22	103	4417
23	108	4403
24	112	4405
25	116	4372
26	120	4339
27	124	4306
28	127	4277
29	131	4244
30	134	4216
31	138	4197
32	142	4174
33	146	4154
34	150	4141
35	154	4142
36	158	4121
37	161	4092
38	165	4071
39	168	4050
40	172	4028
41	174	3991
42	178	3975
43	182	3961
44	185	3947
45	189	3935
46	193	3922
47	196	3905
48	200	3892
49	206	3922
50	212	3961
51	218	3979
52	224	4019
53	229	4017
54	237	4085
55	242	4090
56	248	4115
57	277	4514
58	294	4690
59	313	4913
60	318	4906
61	322	4882
62	326	4857
63	330	4830
64	333	4800
65	336	4767
66	340	4736
67	343	4704
68	346	4673
69	349	4644
70	352	4616
71	356	4588
72	365	4637
73	369	4619
74	373	4604
75	376	4581
76	380	4562
77	384	4542
78	388	4526
79	392	4510
80	396	4494
81	399	4477
82	405	4480
83	411	4490
84	417	4489
85	422	4491
86	429	4502
87	435	4518
88	442	4524
89	448	4536
90	454	4541
91	461	4558
92	468	4571
93	474	4578
94	481	4585
95	487	4590
96	494	4607
97	500	4610
98	504	4594
99	509	4585
100	513	4572
101	517	4555
102	521	4539
103	525	4523
104	529	4511
105	533	4496
106	536	4480
107	540	4465
108	544	4450
109	548	4436
110	552	4421
111	555	4407
112	559	4392
113	563	4379
114	567	4364
115	570	4349
116	574	4334
117	578	4325
118	582	4312
119	586	4300
120	590	4288
121	594	4274
122	597	4261
123	602	4252
124	608	4258
125	613	4256
126	620	4262
127	625	4259
128	633	4274
129	639	4282
130	646	4288
131	653	4295
132	661	4312
133	668	4317
134	673	4313
135	680	4324
136	687	4332
137	694	4335
138	700	4339
139	707	4346
140	712	4342
141	717	4334
142	721	4325
143	725	4311
144	728	4298
145	732	4286
146	736	4273
147	740	4263
148	747	4270
149	757	4290
150	766	4307
151	772	4312
152	780	4319
153	788	4331
154	795	4337
155	805	4356
156	831	4465
157	843	4493
158	853	4516
159	865	4542
160	874	4554
161	882	4565
162	892	4582
163	904	4610
164	912	4617
165	919	4618
166	926	4621
167	933	4623
168	941	4627
169	947	4624
170	965	4682
171	972	4680
172	977	4672
173	983	4667
174	988	4660
175	993	4652
176	999	4646
177	1010	4665
178	1048	4808
179	1063	4846
180	1078	4881
181	1102	4957
182	1120	5000
183	1140	5055
184	1164	5129
185	1177	5151
186	1181	5135
187	1185	5118
188	1188	5101
189	1193	5086
190	1197	5070
191	1201	5054
192	1204	5037
193	1208	5020
194	1213	5007
195	1217	4995
196	1223	4986
197	1236	5006
198	1244	5011
199	1251	5006
200	1272	5057
201	1304	5152
202	1321	5188
203	1328	5184
204	1335	5179
205	1342	5175
206	1350	5171
207	1357	5170
208	1368	5180
209	1381	5198
210	1394	5215
211	1433	5326
212	1446	5343
213	1458	5358
214	1487	5430
215	1504	5459
216	1522	5494
217	1536	5511
218	1545	5512
219	1557	5523
220	1563	5509
221	1581	5542
222	1587	5531
223	1595	5525
224	1599	5509
225	1603	5491
226	1607	5474
227	1611	5456
228	1618	5447
229	1624	5438
230	1628	5420
231	1632	5402
232	1635	5385
233	1640	5369
234	1646	5361
235	1653	5351
236	1659	5342
237	1668	5340
238	1676	5339
239	1682	5328
240	1689	5320
241	1696	5314
242	1702	5304
243	1709	5298
244	1719	5299
245	1726	5292
246	1733	5285
247	1740	5276
248	1744	5260
249	1747	5243
250	1751	5225
251	1755	5209
252	1762	5203
253	1768	5195
254	1772	5179
255	1776	5163
256	1780	5147
257	1784	5130
258	1787	5114
259	1791	5099
260	1795	5084
261	1799	5068
262	1803	5053
263	1809	5043
264	1815	5034
265	1819	5019
266	1824	5007
267	1828	4994
268	1832	4979
269	1836	4964
270	1840	4950
