,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
0,1,ダート,1200m,晴,良,1,15,牡3,56,"
戸崎圭太
",2.0,1,462,0
1,1,ダート,1200m,晴,良,2,3,牡3,56,"
松岡正海
",6.7,2,478,+4
2,1,ダート,1200m,晴,良,3,6,牡3,56,"
田辺裕信
",7.6,4,442,+12
3,1,ダート,1200m,晴,良,4,9,牡3,56,"
三浦皇成
",48.5,10,464,+8
4,1,ダート,1200m,晴,良,5,10,牝3,54,"
石橋脩
",61.9,12,456,+10
5,1,ダート,1200m,晴,良,6,4,牡3,56,"
宮崎北斗
",19.2,6,486,+8
6,1,ダート,1200m,晴,良,7,7,牡3,56,"
岩田康誠
",7.5,3,484,+4
7,1,ダート,1200m,晴,良,8,8,牝3,51,"
藤田菜七
",26.8,8,482,+4
8,1,ダート,1200m,晴,良,9,16,牝3,54,"
吉田隼人
",10.8,5,428,-4
9,1,ダート,1200m,晴,良,10,1,牡3,55,"
木幡巧也
",19.5,7,504,+6
10,1,ダート,1200m,晴,良,11,2,牡3,56,"
嘉藤貴行
",230.3,15,474,+38
11,1,ダート,1200m,晴,良,12,13,牝3,54,"
北村宏司
",142.0,14,468,-6
12,1,ダート,1200m,晴,良,13,14,牝3,51,"
武藤雅
",36.2,9,450,0
13,1,ダート,1200m,晴,良,14,12,牡3,56,"
田中勝春
",239.2,16,422,+2
14,1,ダート,1200m,晴,良,15,11,牡3,53,"
菊沢一樹
",128.5,13,452,0
15,1,ダート,1200m,晴,良,16,5,牝3,54,"
丸田恭介
",48.8,11,442,-4
16,2,ダート,1800m,晴,良,1,14,牡3,56,"
内田博幸
",3.9,2,468,-4
17,2,ダート,1800m,晴,良,2,9,セ3,56,"
丸田恭介
",108.0,13,480,-8
18,2,ダート,1800m,晴,良,3,2,牝3,51,"
菊沢一樹
",35.2,10,462,-6
19,2,ダート,1800m,晴,良,4,11,牡3,56,"
戸崎圭太
",11.9,5,488,+4
20,2,ダート,1800m,晴,良,5,16,牡3,56,"
柴山雄一
",7.3,3,536,-2
21,2,ダート,1800m,晴,良,6,13,牡3,56,"
北村宏司
",2.8,1,480,+4
22,2,ダート,1800m,晴,良,7,8,牡3,56,"
吉田隼人
",9.2,4,512,+6
23,2,ダート,1800m,晴,良,8,3,牡3,53,"
武藤雅
",14.8,7,504,0
24,2,ダート,1800m,晴,良,9,10,牡3,56,"
横山和生
",33.9,9,462,+2
25,2,ダート,1800m,晴,良,10,5,牡3,56,"
岩部純二
",176.0,15,516,-6
26,2,ダート,1800m,晴,良,11,7,牡3,56,"
西田雄一
",265.7,16,448,-2
27,2,ダート,1800m,晴,良,12,4,牡3,56,"
横山典弘
",12.4,6,482,+10
28,2,ダート,1800m,晴,良,13,15,牡3,56,"
江田照男
",149.3,14,446,+2
29,2,ダート,1800m,晴,良,14,6,セ3,56,"
勝浦正樹
",17.6,8,512,+4
30,2,ダート,1800m,晴,良,15,12,牡3,56,"
柴田大知
",72.7,11,480,+6
31,2,ダート,1800m,晴,良,16,1,牝3,54,"
的場勇人
",100.3,12,444,0
32,3,ダート,1800m,晴,良,1,7,牝3,54,"
北村宏司
",52.6,9,458,0
33,3,ダート,1800m,晴,良,2,2,牝3,54,"
田辺裕信
",2.8,1,490,0
34,3,ダート,1800m,晴,良,3,11,牝3,54,"
三浦皇成
",5.1,3,478,0
35,3,ダート,1800m,晴,良,4,9,牝3,54,"
福永祐一
",4.3,2,490,0
36,3,ダート,1800m,晴,良,5,10,牝3,51,"
野中悠太
",17.8,7,444,0
37,3,ダート,1800m,晴,良,6,1,牝3,54,"
石橋脩
",8.4,5,460,0
38,3,ダート,1800m,晴,良,7,3,牝3,54,"
松岡正海
",73.3,10,452,0
39,3,ダート,1800m,晴,良,8,13,牝3,51,"
横山武史
",112.6,13,460,0
40,3,ダート,1800m,晴,良,9,4,牝3,51,"
菊沢一樹
",150.9,15,420,0
41,3,ダート,1800m,晴,良,10,14,牝3,54,"
勝浦正樹
",94.6,12,438,0
42,3,ダート,1800m,晴,良,11,5,牝3,54,"
蛯名正義
",14.6,6,488,0
43,3,ダート,1800m,晴,良,12,6,牝3,54,"
西田雄一
",86.1,11,492,0
44,3,ダート,1800m,晴,良,13,8,牝3,54,"
内田博幸
",31.2,8,458,0
45,3,ダート,1800m,晴,良,14,12,牝3,54,"
柴田大知
",120.1,14,436,0
46,3,ダート,1800m,晴,良,15,15,牝3,54,"
戸崎圭太
",7.9,4,484,0
47,4,ダート,1200m,晴,良,1,4,牡4,56,"
田中勝春
",7.8,5,536,0
48,4,ダート,1200m,晴,良,2,6,牡4,56,"
江田照男
",3.7,1,496,+4
49,4,ダート,1200m,晴,良,3,10,牡5,57,"
岩田康誠
",5.9,3,504,+8
50,4,ダート,1200m,晴,良,4,8,セ5,57,"
川田将雅
",15.8,6,500,0
51,4,ダート,1200m,晴,良,5,12,牝4,54,"
嶋田純次
",64.2,12,508,-10
52,4,ダート,1200m,晴,良,6,15,牡5,54,"
横山武史
",26.4,9,498,+2
53,4,ダート,1200m,晴,良,7,11,牡5,57,"
嘉藤貴行
",4.1,2,472,+4
54,4,ダート,1200m,晴,良,8,7,牡4,56,"
石橋脩
",6.0,4,510,-8
55,4,ダート,1200m,晴,良,9,2,牝5,52,"
武藤雅
",47.0,11,504,+4
56,4,ダート,1200m,晴,良,10,16,牡4,56,"
吉田隼人
",19.3,7,484,0
57,4,ダート,1200m,晴,良,11,1,牝4,51,"
野中悠太
",256.8,16,446,+6
58,4,ダート,1200m,晴,良,12,9,牡4,56,"
勝浦正樹
",122.1,14,494,+3
59,4,ダート,1200m,晴,良,13,13,牝4,54,"
松岡正海
",23.2,8,458,+22
60,4,ダート,1200m,晴,良,14,14,牝4,54,"
丸田恭介
",40.0,10,492,+14
61,4,ダート,1200m,晴,良,15,5,牝5,52,"
藤田菜七
",83.4,13,414,+18
62,4,ダート,1200m,晴,良,16,3,牡7,54,"
菊沢一樹
",212.2,15,500,+6
63,5,芝,2000m,晴,良,1,9,牝3,54,"
戸崎圭太
",1.4,1,454,+2
64,5,芝,2000m,晴,良,2,3,牡3,56,"
北村宏司
",9.4,2,500,-2
