,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
0,1,1,1200,0,0,1,15,56,2,1,462,0
1,1,1,1200,0,0,2,3,56,6.7,2,478,4
2,1,1,1200,0,0,3,6,56,7.6,4,442,12
3,1,1,1200,0,0,4,9,56,48.5,10,464,8
4,1,1,1200,0,0,5,10,54,61.9,12,456,10
5,1,1,1200,0,0,6,4,56,19.2,6,486,8
6,1,1,1200,0,0,7,7,56,7.5,3,484,4
7,1,1,1200,0,0,8,8,51,26.8,8,482,4
8,1,1,1200,0,0,9,16,54,10.8,5,428,-4
9,1,1,1200,0,0,10,1,55,19.5,7,504,6
10,1,1,1200,0,0,11,2,56,230.3,15,474,38
11,1,1,1200,0,0,12,13,54,142,14,468,-6
12,1,1,1200,0,0,13,14,51,36.2,9,450,0
13,1,1,1200,0,0,14,12,56,239.2,16,422,2
14,1,1,1200,0,0,15,11,53,128.5,13,452,0
15,1,1,1200,0,0,16,5,54,48.8,11,442,-4
16,2,1,1800,0,0,1,14,56,3.9,2,468,-4
17,2,1,1800,0,0,2,9,56,108,13,480,-8
18,2,1,1800,0,0,3,2,51,35.2,10,462,-6
19,2,1,1800,0,0,4,11,56,11.9,5,488,4
20,2,1,1800,0,0,5,16,56,7.3,3,536,-2
21,2,1,1800,0,0,6,13,56,2.8,1,480,4
22,2,1,1800,0,0,7,8,56,9.2,4,512,6
23,2,1,1800,0,0,8,3,53,14.8,7,504,0
24,2,1,1800,0,0,9,10,56,33.9,9,462,2
25,2,1,1800,0,0,10,5,56,176,15,516,-6
26,2,1,1800,0,0,11,7,56,265.7,16,448,-2
27,2,1,1800,0,0,12,4,56,12.4,6,482,10
28,2,1,1800,0,0,13,15,56,149.3,14,446,2
29,2,1,1800,0,0,14,6,56,17.6,8,512,4
30,2,1,1800,0,0,15,12,56,72.7,11,480,6
31,2,1,1800,0,0,16,1,54,100.3,12,444,0
32,3,1,1800,0,0,1,7,54,52.6,9,458,0
33,3,1,1800,0,0,2,2,54,2.8,1,490,0
34,3,1,1800,0,0,3,11,54,5.1,3,478,0
35,3,1,1800,0,0,4,9,54,4.3,2,490,0
36,3,1,1800,0,0,5,10,51,17.8,7,444,0
37,3,1,1800,0,0,6,1,54,8.4,5,460,0
38,3,1,1800,0,0,7,3,54,73.3,10,452,0
39,3,1,1800,0,0,8,13,51,112.6,13,460,0
40,3,1,1800,0,0,9,4,51,150.9,15,420,0
41,3,1,1800,0,0,10,14,54,94.6,12,438,0
42,3,1,1800,0,0,11,5,54,14.6,6,488,0
43,3,1,1800,0,0,12,6,54,86.1,11,492,0
44,3,1,1800,0,0,13,8,54,31.2,8,458,0
45,3,1,1800,0,0,14,12,54,120.1,14,436,0
46,3,1,1800,0,0,15,15,54,7.9,4,484,0
47,4,1,1200,0,0,1,4,56,7.8,5,536,0
48,4,1,1200,0,0,2,6,56,3.7,1,496,4
49,4,1,1200,0,0,3,10,57,5.9,3,504,8
50,4,1,1200,0,0,4,8,57,15.8,6,500,0
51,4,1,1200,0,0,5,12,54,64.2,12,508,-10
52,4,1,1200,0,0,6,15,54,26.4,9,498,2
53,4,1,1200,0,0,7,11,57,4.1,2,472,4
54,4,1,1200,0,0,8,7,56,6,4,510,-8
55,4,1,1200,0,0,9,2,52,47,11,504,4
