,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,芝,1800m,晴,良,1,1,54,1.1,1,458,+4,100
1,1,芝,1800m,晴,良,2,6,54,7.6,2,488,+6,130
2,1,芝,1800m,晴,良,3,3,54,8.3,3,480,-6,0
3,1,芝,1800m,晴,良,4,4,54,46.7,5,460,-8,0
4,1,芝,1800m,晴,良,5,5,52,39.8,4,470,-8,0
5,1,芝,1800m,晴,良,6,2,54,50.8,6,468,-12,0
6,2,ダート,1000m,晴,良,1,3,54,2.1,1,456,-6,110
7,2,ダート,1000m,晴,良,2,7,54,3.6,2,470,0,110
8,2,ダート,1000m,晴,良,3,5,54,113.9,10,462,+14,770
9,2,ダート,1000m,晴,良,4,10,52,29.4,7,408,-4,0
10,2,ダート,1000m,晴,良,5,8,54,9.9,4,458,-10,0
11,2,ダート,1000m,晴,良,6,9,54,183.7,12,442,0,0
12,2,ダート,1000m,晴,良,7,12,54,5.3,3,440,-8,0
13,2,ダート,1000m,晴,良,8,11,54,37.6,8,456,+2,0
14,2,ダート,1000m,晴,良,9,4,54,12.4,5,476,+2,0
15,2,ダート,1000m,晴,良,10,6,54,180.5,11,402,-10,0
16,2,ダート,1000m,晴,良,11,2,52,72.2,9,436,-2,0
17,2,ダート,1000m,晴,良,12,1,54,22.2,6,440,-8,0
18,3,ダート,2400m,晴,良,1,3,52,3.3,1,454,+4,190
19,3,ダート,2400m,晴,良,2,1,56,27.8,7,478,0,610
20,3,ダート,2400m,晴,良,3,7,56,10.8,5,532,0,310
21,3,ダート,2400m,晴,良,4,5,56,3.8,3,486,-14,0
22,3,ダート,2400m,晴,良,5,2,54,47.0,10,430,-4,0
23,3,ダート,2400m,晴,良,6,4,55,27.9,9,450,-8,0
24,3,ダート,2400m,晴,良,7,10,55,27.9,8,514,-4,0
25,3,ダート,2400m,晴,良,8,6,56,8.4,4,478,-6,0
26,3,ダート,2400m,晴,良,9,9,56,3.5,2,468,-2,0
27,3,ダート,2400m,晴,良,10,8,56,14.7,6,478,+2,0
28,4,ダート,1700m,晴,良,1,14,54,4.3,2,438,-20,170
29,4,ダート,1700m,晴,良,2,7,56,2.3,1,456,-8,130
30,4,ダート,1700m,晴,良,3,8,54,13.4,4,422,0,360
31,4,ダート,1700m,晴,良,4,3,56,17.4,7,466,-10,0
32,4,ダート,1700m,晴,良,5,11,54,16.0,5,448,-4,0
33,4,ダート,1700m,晴,良,6,12,54,302.2,13,470,-12,0
34,4,ダート,1700m,晴,良,7,10,56,41.5,10,514,-4,0
35,4,ダート,1700m,晴,良,8,6,56,16.3,6,458,-6,0
36,4,ダート,1700m,晴,良,9,5,54,34.5,9,494,+6,0
37,4,ダート,1700m,晴,良,10,1,54,4.9,3,508,0,0
38,4,ダート,1700m,晴,良,11,4,51,59.4,12,420,-8,0
39,4,ダート,1700m,晴,良,12,13,54,23.5,8,450,+14,0
40,4,ダート,1700m,晴,良,13,2,56,46.1,11,534,-8,0
41,4,ダート,1700m,晴,良,14,9,55,590.8,14,440,-4,0
42,5,芝,1500m,晴,良,1,13,54,5.2,2,434,0,120
43,5,芝,1500m,晴,良,2,10,54,1.7,1,430,0,110
44,5,芝,1500m,晴,良,3,5,54,5.5,3,476,0,120
45,5,芝,1500m,晴,良,4,8,54,20.5,5,500,0,0
46,5,芝,1500m,晴,良,5,1,54,11.9,4,516,0,0
47,5,芝,1500m,晴,良,6,3,52,124.6,10,464,0,0
48,5,芝,1500m,晴,良,7,11,52,89.1,8,502,0,0
49,5,芝,1500m,晴,良,8,4,53,188.1,11,454,0,0
50,5,芝,1500m,晴,良,9,12,54,99.1,9,462,0,0
51,5,芝,1500m,晴,良,10,2,54,59.1,7,486,0,0
52,5,芝,1500m,晴,良,11,6,54,30.2,6,450,0,0
53,5,芝,1500m,晴,良,12,9,53,492.3,13,412,0,0
54,5,芝,1500m,晴,良,13,7,54,271.3,12,474,0,0
55,6,芝,2000m,晴,良,1,9,56,12.6,7,492,-2,450
56,6,芝,2000m,晴,良,2,5,56,7.4,4,460,+10,290
57,6,芝,2000m,晴,良,3,2,56,10.2,6,430,-14,410
58,6,芝,2000m,晴,良,4,6,52,6.8,3,420,-4,0
59,6,芝,2000m,晴,良,5,3,53,13.9,9,460,-10,0
60,6,芝,2000m,晴,良,6,12,56,4.2,2,526,+8,0
61,6,芝,2000m,晴,良,7,7,56,8.0,5,496,0,0
62,6,芝,2000m,晴,良,8,4,56,13.4,8,492,+6,0
63,6,芝,2000m,晴,良,9,10,54,36.0,10,454,-4,0
64,6,芝,2000m,晴,良,10,11,54,4.1,1,444,+4,0
65,6,芝,2000m,晴,良,11,8,54,145.5,12,452,-8,0
66,6,芝,2000m,晴,良,12,1,53,111.3,11,462,+6,0
67,7,ダート,1000m,晴,良,1,6,55,20.2,8,506,+14,460
68,7,ダート,1000m,晴,良,2,1,53,12.1,7,428,-2,300
69,7,ダート,1000m,晴,良,3,4,55,2.8,1,434,-6,160
70,7,ダート,1000m,晴,良,4,10,54,5.0,2,468,-4,0
71,7,ダート,1000m,晴,良,5,9,57,10.6,6,474,-6,0
72,7,ダート,1000m,晴,良,6,11,56,7.4,4,460,+2,0
73,7,ダート,1000m,晴,良,7,3,55,68.6,11,448,-16,0
74,7,ダート,1000m,晴,良,8,5,57,6.7,3,440,-16,0
75,7,ダート,1000m,晴,良,9,8,57,30.3,9,486,+4,0
76,7,ダート,1000m,晴,良,10,2,52,7.7,5,504,0,0
77,7,ダート,1000m,晴,良,11,12,57,68.4,10,454,-4,0
78,7,ダート,1000m,晴,良,12,7,55,201.3,12,502,-10,0
79,8,芝,1200m,晴,良,1,6,52,1.6,1,458,0,110
80,8,芝,1200m,晴,良,2,8,55,2.9,2,450,-2,110
81,8,芝,1200m,晴,良,3,4,55,16.1,4,438,+6,170
82,8,芝,1200m,晴,良,4,5,55,10.8,3,416,-6,0
83,8,芝,1200m,晴,良,5,9,55,24.9,6,472,-4,0
84,8,芝,1200m,晴,良,6,2,55,16.1,5,496,-4,0
85,8,芝,1200m,晴,良,7,3,55,163.6,9,458,-6,0
86,8,芝,1200m,晴,良,8,7,55,280.3,10,440,-14,0
87,8,芝,1200m,晴,良,9,1,55,70.3,8,428,-10,0
88,8,芝,1200m,晴,良,10,10,55,56.2,7,402,+18,0
89,9,ダート,1700m,晴,良,1,3,57,4.7,2,504,+2,250
90,9,ダート,1700m,晴,良,2,8,54,21.1,6,474,-8,850
91,9,ダート,1700m,晴,良,3,9,55,9.0,4,470,-6,350
92,9,ダート,1700m,晴,良,4,5,55,1.7,1,484,+2,0
93,9,ダート,1700m,晴,良,5,11,55,29.8,8,440,-14,0
94,9,ダート,1700m,晴,良,6,12,57,28.1,7,434,-8,0
95,9,ダート,1700m,晴,良,7,13,54,7.2,3,458,-10,0
96,9,ダート,1700m,晴,良,8,1,54,32.0,9,468,-2,0
97,9,ダート,1700m,晴,良,9,2,57,20.3,5,478,0,0
98,9,ダート,1700m,晴,良,10,10,57,232.9,12,476,-6,0
99,9,ダート,1700m,晴,良,11,7,57,158.6,11,492,+2,0
100,9,ダート,1700m,晴,良,12,6,52,86.1,10,464,-2,0
101,10,芝,1500m,晴,良,1,2,57,7.5,3,508,+4,200
102,10,芝,1500m,晴,良,2,4,57,2.8,2,448,+4,130
103,10,芝,1500m,晴,良,3,12,52,60.1,9,474,-6,690
104,10,芝,1500m,晴,良,4,11,57,11.7,5,464,-6,0
105,10,芝,1500m,晴,良,5,5,57,35.7,7,470,-6,0
106,10,芝,1500m,晴,良,6,14,52,85.2,10,450,+4,0
107,10,芝,1500m,晴,良,7,8,54,2.2,1,498,+10,0
108,10,芝,1500m,晴,良,8,3,55,248.4,13,426,+4,0
109,10,芝,1500m,晴,良,9,9,57,26.5,6,508,-12,0
110,10,芝,1500m,晴,良,10,7,54,10.0,4,440,-2,0
111,10,芝,1500m,晴,良,11,13,57,46.0,8,464,-2,0
112,10,芝,1500m,晴,良,12,6,52,316.2,14,422,-2,0
113,10,芝,1500m,晴,良,13,10,54,214.5,11,450,-12,0
114,10,芝,1500m,晴,良,14,1,57,232.4,12,496,0,0
115,11,芝,1800m,晴,良,1,13,56,3.7,2,442,-8,150
116,11,芝,1800m,晴,良,2,12,57,2.8,1,460,-4,140
117,11,芝,1800m,晴,良,3,7,53,40.1,11,468,-14,560
118,11,芝,1800m,晴,良,4,3,54,265.6,14,470,-18,0
119,11,芝,1800m,晴,良,5,5,56,10.1,4,456,0,0
120,11,芝,1800m,晴,良,6,9,57,14.8,6,448,-2,0
121,11,芝,1800m,晴,良,7,11,53,17.0,7,496,-6,0
122,11,芝,1800m,晴,良,8,6,56,23.3,9,468,-10,0
123,11,芝,1800m,晴,良,9,2,55,7.1,3,446,-8,0
124,11,芝,1800m,晴,良,10,10,55,23.1,8,480,+2,0
125,11,芝,1800m,晴,良,11,1,53,110.9,13,466,-6,0
126,11,芝,1800m,晴,良,11,4,54,27.9,10,462,-8,0
127,11,芝,1800m,晴,良,13,8,55,11.9,5,506,-4,0
128,11,芝,1800m,晴,良,14,14,56,44.4,12,500,-10,0
129,12,芝,2600m,晴,良,1,7,55,2.0,1,492,0,110
130,12,芝,2600m,晴,良,2,6,57,8.8,3,460,-10,170
131,12,芝,2600m,晴,良,3,9,57,13.6,5,422,-10,230
132,12,芝,2600m,晴,良,4,10,55,18.3,6,414,-6,0
133,12,芝,2600m,晴,良,5,2,54,2.8,2,452,0,0
134,12,芝,2600m,晴,良,6,3,57,63.8,8,476,-4,0
135,12,芝,2600m,晴,良,7,5,57,44.5,7,412,-6,0
136,12,芝,2600m,晴,良,8,4,57,67.4,10,496,-12,0
137,12,芝,2600m,晴,良,9,8,57,9.5,4,464,0,0
138,12,芝,2600m,晴,良,10,1,57,65.7,9,460,-8,0
139,1,芝,1200m,晴,良,1,2,54,1.7,1,500,-2,100
140,1,芝,1200m,晴,良,2,1,54,2.0,2,414,0,100
141,1,芝,1200m,晴,良,3,4,54,33.5,4,444,-6,160
142,1,芝,1200m,晴,良,4,8,54,87.7,7,434,-4,0
143,1,芝,1200m,晴,良,5,7,54,24.5,3,422,0,0
144,1,芝,1200m,晴,良,6,3,52,83.0,6,418,-8,0
145,1,芝,1200m,晴,良,7,5,53,150.5,8,396,-10,0
146,1,芝,1200m,晴,良,8,6,54,34.1,5,476,-8,0
147,2,ダート,1000m,晴,良,1,9,56,2.9,1,496,-8,120
148,2,ダート,1000m,晴,良,2,5,56,3.0,2,460,-8,130
149,2,ダート,1000m,晴,良,3,12,53,9.2,4,480,+4,170
150,2,ダート,1000m,晴,良,4,3,54,16.9,6,436,+2,0
151,2,ダート,1000m,晴,良,5,11,56,15.3,5,456,-2,0
152,2,ダート,1000m,晴,良,6,4,54,28.7,7,474,-6,0
153,2,ダート,1000m,晴,良,7,6,55,55.9,10,442,0,0
154,2,ダート,1000m,晴,良,8,8,54,58.1,11,412,-6,0
155,2,ダート,1000m,晴,良,9,2,54,4.6,3,488,-4,0
156,2,ダート,1000m,晴,良,10,7,56,54.2,9,458,+2,0
157,2,ダート,1000m,晴,良,11,1,54,65.1,12,450,-1,0
158,2,ダート,1000m,晴,良,12,10,55,37.2,8,490,0,0
159,3,ダート,1700m,晴,良,1,4,56,5.1,2,482,+10,250
160,3,ダート,1700m,晴,良,2,6,56,48.4,9,456,-8,820
161,3,ダート,1700m,晴,良,3,12,54,43.5,8,436,-2,"1,300"
162,3,ダート,1700m,晴,良,4,14,56,9.4,4,480,+2,0
163,3,ダート,1700m,晴,良,5,8,55,5.8,3,506,+2,0
164,3,ダート,1700m,晴,良,6,7,56,9.5,5,442,+2,0
165,3,ダート,1700m,晴,良,7,10,54,15.8,6,452,-6,0
166,3,ダート,1700m,晴,良,8,11,56,70.4,11,466,+4,0
167,3,ダート,1700m,晴,良,9,5,52,61.2,10,456,-6,0
168,3,ダート,1700m,晴,良,10,1,56,2.0,1,482,-2,0
169,3,ダート,1700m,晴,良,11,2,54,224.2,14,470,-2,0
170,3,ダート,1700m,晴,良,12,13,54,93.1,12,462,-2,0
171,3,ダート,1700m,晴,良,13,3,56,101.6,13,428,-8,0
172,3,ダート,1700m,晴,良,14,9,56,33.5,7,466,-6,0
173,4,芝,1500m,晴,良,1,13,54,1.7,1,454,-8,110
174,4,芝,1500m,晴,良,2,2,54,4.9,2,474,-8,160
175,4,芝,1500m,晴,良,3,12,54,94.2,12,436,-8,960
176,4,芝,1500m,晴,良,4,6,52,32.2,8,418,+6,0
177,4,芝,1500m,晴,良,5,14,54,43.8,9,420,0,0
178,4,芝,1500m,晴,良,6,11,54,52.1,10,416,+2,0
179,4,芝,1500m,晴,良,7,7,56,13.5,5,476,-12,0
180,4,芝,1500m,晴,良,8,9,56,31.2,7,466,+2,0
181,4,芝,1500m,晴,良,9,5,54,7.8,3,422,+2,0
182,4,芝,1500m,晴,良,10,3,56,11.1,4,474,+2,0
183,4,芝,1500m,晴,良,11,10,56,18.9,6,458,0,0
184,4,芝,1500m,晴,良,12,8,54,262.6,14,394,+16,0
185,4,芝,1500m,晴,良,13,4,54,63.4,11,428,-12,0
186,4,芝,1500m,晴,良,14,1,56,189.4,13,440,-6,0
187,5,芝,1800m,晴,良,1,10,54,3.0,2,468,0,140
188,5,芝,1800m,晴,良,2,7,54,7.1,4,448,0,190
189,5,芝,1800m,晴,良,3,6,54,62.7,7,464,0,610
190,5,芝,1800m,晴,良,4,2,54,48.1,6,488,0,0
191,5,芝,1800m,晴,良,5,1,54,2.7,1,482,0,0
192,5,芝,1800m,晴,良,6,5,54,3.8,3,472,0,0
193,5,芝,1800m,晴,良,7,8,54,25.1,5,494,0,0
194,5,芝,1800m,晴,良,8,3,54,105.6,8,480,0,0
195,5,芝,1800m,晴,良,9,4,54,197.0,10,480,0,0
196,5,芝,1800m,晴,良,10,9,54,125.3,9,492,0,0
197,6,ダート,1700m,晴,良,1,2,54,1.8,1,532,0,110
198,6,ダート,1700m,晴,良,2,9,54,16.8,5,442,0,270
199,6,ダート,1700m,晴,良,3,14,53,54.5,8,488,0,690
200,6,ダート,1700m,晴,良,4,7,54,3.1,2,474,0,0
201,6,ダート,1700m,晴,良,5,11,54,15.6,4,458,0,0
202,6,ダート,1700m,晴,良,6,13,54,10.2,3,444,0,0
203,6,ダート,1700m,晴,良,7,5,54,136.0,10,492,0,0
204,6,ダート,1700m,晴,良,8,8,54,41.3,7,466,0,0
205,6,ダート,1700m,晴,良,9,1,54,248.9,14,422,0,0
206,6,ダート,1700m,晴,良,10,10,54,56.5,9,486,0,0
207,6,ダート,1700m,晴,良,11,12,54,38.9,6,496,0,0
208,6,ダート,1700m,晴,良,12,3,54,147.7,11,482,0,0
