,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,1,1700,0,0,1,11,51.0,12.7,5,476,-4,350
1,1,1,1700,0,0,2,3,56.0,2.8,1,472,0,120
2,1,1,1700,0,0,3,10,53.0,5.4,3,468,6,170
3,1,1,1700,0,0,4,5,53.0,28.1,7,468,-4,0
4,1,1,1700,0,0,5,7,56.0,66.1,11,504,26,0
5,1,1,1700,0,0,6,12,56.0,9.3,4,482,4,0
6,1,1,1700,0,0,7,8,56.0,3.0,2,522,-2,0
7,1,1,1700,0,0,8,1,56.0,40.1,8,482,0,0
8,1,1,1700,0,0,9,14,56.0,19.6,6,454,-4,0
9,1,1,1700,0,0,10,6,56.0,64.9,10,448,0,0
10,1,1,1700,0,0,11,2,54.0,83.4,12,446,-8,0
11,1,1,1700,0,0,12,4,53.0,47.1,9,456,-6,0
12,1,1,1700,0,0,13,15,54.0,116.2,14,434,-4,0
13,1,1,1700,0,0,14,9,54.0,108.5,13,474,-4,0
14,1,1,1700,0,0,15,13,56.0,203.2,15,458,-8,0
15,2,0,1200,0,0,1,1,53.0,26.2,8,476,0,530
16,2,0,1200,0,0,2,3,54.0,7.6,3,406,-16,180
17,2,0,1200,0,0,3,12,56.0,1.8,1,470,-6,120
18,2,0,1200,0,0,4,14,53.0,7.3,2,438,0,0
19,2,0,1200,0,0,5,9,54.0,10.1,4,478,2,0
20,2,0,1200,0,0,6,6,51.0,14.3,5,418,8,0
21,2,0,1200,0,0,7,7,54.0,16.1,6,432,-8,0
22,2,0,1200,0,0,8,10,52.0,23.6,7,470,0,0
23,2,0,1200,0,0,9,2,51.0,73.8,13,482,2,0
24,2,0,1200,0,0,10,8,56.0,211.4,16,448,0,0
25,2,0,1200,0,0,11,16,56.0,44.9,10,396,-20,0
26,2,0,1200,0,0,12,4,54.0,56.5,12,460,22,0
27,2,0,1200,0,0,13,11,51.0,88.1,14,406,0,0
28,2,0,1200,0,0,14,5,54.0,30.8,9,398,0,0
29,2,0,1200,0,0,15,13,56.0,160.6,15,468,0,0
30,2,0,1200,0,0,16,15,51.0,50.3,11,428,0,0
31,3,1,1700,0,0,1,9,52.0,6.5,5,456,2,190
32,3,1,1700,0,0,2,8,53.0,4.4,3,438,0,160
33,3,1,1700,0,0,3,6,52.0,24.3,7,458,-4,470
34,3,1,1700,0,0,4,5,54.0,4.3,1,488,10,0
35,3,1,1700,0,0,5,3,55.0,42.2,10,452,-2,0
36,3,1,1700,0,0,6,1,52.0,25.1,8,482,-6,0
37,3,1,1700,0,0,7,4,52.0,4.4,2,446,-4,0
38,3,1,1700,0,0,8,10,55.0,5.2,4,500,0,0
39,3,1,1700,0,0,9,2,55.0,104.1,12,420,-14,0
40,3,1,1700,0,0,10,14,55.0,107.5,13,454,-8,0
41,3,1,1700,0,0,11,11,55.0,39.4,9,412,-14,0
42,3,1,1700,0,0,12,7,55.0,200.7,14,440,-10,0
43,3,1,1700,0,0,13,12,55.0,18.1,6,440,-2,0
44,3,1,1700,0,0,14,13,55.0,49.0,11,442,-17,0
45,6,1,1700,0,0,1,8,53.0,6.6,3,508,-6,160
46,6,1,1700,0,0,2,4,54.0,1.5,1,488,-2,110
47,6,1,1700,0,0,3,6,56.0,83.5,10,508,-4,940
48,6,1,1700,0,0,4,9,54.0,13.6,4,526,10,0
49,6,1,1700,0,0,5,12,54.0,5.2,2,482,-4,0
50,6,1,1700,0,0,6,13,54.0,40.5,8,436,-4,0
51,6,1,1700,0,0,7,2,54.0,95.2,11,520,4,0
52,6,1,1700,0,0,8,7,54.0,36.9,7,466,-2,0
53,6,1,1700,0,0,9,3,54.0,134.5,13,484,4,0
54,6,1,1700,0,0,10,11,54.0,26.9,6,510,-8,0
55,6,1,1700,0,0,11,10,57.0,45.9,9,490,-2,0
56,6,1,1700,0,0,12,1,57.0,26.2,5,504,-8,0
57,6,1,1700,0,0,13,5,57.0,108.9,12,438,-4,0
58,7,1,1150,0,0,1,13,54.0,2.5,1,496,-8,130
59,7,1,1150,0,0,2,12,52.0,8.4,4,416,2,220
60,7,1,1150,0,0,3,16,54.0,5.3,2,468,-6,170
61,7,1,1150,0,0,4,14,51.0,8.7,5,428,-16,0
62,7,1,1150,0,0,5,5,51.0,14.8,7,414,6,0
63,7,1,1150,0,0,6,2,54.0,262.2,15,400,-8,0
64,7,1,1150,0,0,7,3,51.0,18.3,8,428,2,0
65,7,1,1150,0,0,8,6,54.0,34.3,9,396,-8,0
66,7,1,1150,0,0,9,1,51.0,5.7,3,472,-2,0
67,7,1,1150,0,0,10,4,54.0,113.7,12,408,12,0
68,7,1,1150,0,0,11,9,51.0,75.7,10,420,-16,0
69,7,1,1150,0,0,12,7,54.0,172.0,14,412,-6,0
70,7,1,1150,0,0,13,8,54.0,14.6,6,464,0,0
71,7,1,1150,0,0,14,11,54.0,146.8,13,422,0,0
72,7,1,1150,0,0,15,10,51.0,439.4,16,400,-14,0
73,7,1,1150,0,0,16,15,54.0,105.1,11,438,0,0
74,8,0,2600,0,0,1,12,54.0,48.2,11,432,-10,"1,220"
75,8,0,2600,0,0,2,13,56.0,2.7,1,450,-4,130
76,8,0,2600,0,0,3,4,53.0,68.9,13,512,4,"2,030"
77,8,0,2600,0,0,4,2,53.0,79.5,15,460,-16,0
78,8,0,2600,0,0,5,1,56.0,34.8,9,548,0,0
79,8,0,2600,0,0,6,3,54.0,6.5,4,450,2,0
80,8,0,2600,0,0,7,14,56.0,6.9,5,442,-8,0
81,8,0,2600,0,0,8,8,56.0,6.2,3,486,-4,0
82,8,0,2600,0,0,9,9,56.0,41.2,10,486,-2,0
83,8,0,2600,0,0,10,11,53.0,49.5,12,480,-8,0
84,8,0,2600,0,0,11,16,53.0,21.1,7,492,-14,0
85,8,0,2600,0,0,12,7,53.0,74.1,14,454,-4,0
86,8,0,2600,0,0,13,10,56.0,410.9,16,438,-4,0
87,8,0,2600,0,0,14,6,53.0,34.6,8,416,-8,0
88,8,0,2600,0,0,15,5,54.0,17.1,6,436,-4,0
89,8,0,2600,0,0,16,15,56.0,6.2,2,506,-12,0
90,9,1,1150,0,0,1,15,57.0,8.7,4,454,-12,240
91,9,1,1150,0,0,2,6,52.0,4.1,1,452,-12,150
92,9,1,1150,0,0,3,2,57.0,13.8,6,470,-2,350
93,9,1,1150,0,0,4,16,57.0,13.9,7,488,6,0
94,9,1,1150,0,0,5,11,57.0,16.8,8,476,-10,0
95,9,1,1150,0,0,6,4,56.0,40.0,13,522,-6,0
96,9,1,1150,0,0,7,3,54.0,18.7,10,518,-6,0
97,9,1,1150,0,0,8,14,54.0,16.8,9,506,0,0
98,9,1,1150,0,0,9,10,54.0,10.6,5,490,0,0
99,9,1,1150,0,0,10,8,57.0,316.5,16,472,-15,0
100,9,1,1150,0,0,11,13,55.0,40.6,14,460,-2,0
101,9,1,1150,0,0,12,1,55.0,7.3,3,488,0,0
102,9,1,1150,0,0,13,5,55.0,22.5,11,456,4,0
103,9,1,1150,0,0,14,7,52.0,299.9,15,438,-9,0
104,9,1,1150,0,0,15,12,55.0,37.1,12,494,-4,0
105,9,1,1150,0,0,16,9,57.0,4.5,2,440,-2,0
106,10,0,2000,0,0,1,2,56.0,2.0,1,450,-2,130
107,10,0,2000,0,0,2,8,56.0,12.7,5,476,-4,280
108,10,0,2000,0,0,3,9,54.0,26.9,7,442,-4,430
109,10,0,2000,0,0,4,4,56.0,4.1,2,480,-6,0
110,10,0,2000,0,0,5,5,54.0,72.7,10,458,-10,0
111,10,0,2000,0,0,6,3,56.0,15.0,6,444,0,0
112,10,0,2000,0,0,7,10,54.0,7.1,3,478,-4,0
113,10,0,2000,0,0,8,6,56.0,7.2,4,436,-2,0
114,10,0,2000,0,0,9,7,56.0,36.2,8,442,-8,0
115,10,0,2000,0,0,10,1,54.0,44.4,9,468,0,0
116,11,0,1200,0,0,1,13,55.0,8.2,5,486,-14,330
117,11,0,1200,0,0,2,10,57.0,11.1,6,478,4,360
118,11,0,1200,0,0,3,9,55.0,76.4,15,428,-4,"1,910"
119,11,0,1200,0,0,4,16,57.0,6.0,3,478,-4,0
120,11,0,1200,0,0,5,6,55.0,46.0,13,454,-6,0
121,11,0,1200,0,0,6,3,55.0,5.4,2,464,-6,0
122,11,0,1200,0,0,7,11,55.0,117.9,16,436,2,0
123,11,0,1200,0,0,8,5,57.0,18.5,9,454,-14,0
124,11,0,1200,0,0,9,8,55.0,42.7,11,482,-12,0
125,11,0,1200,0,0,10,14,55.0,4.8,1,502,-2,0
126,11,0,1200,0,0,11,15,57.0,20.1,10,482,-6,0
127,11,0,1200,0,0,12,7,55.0,71.6,14,456,2,0
128,11,0,1200,0,0,13,1,57.0,6.7,4,488,-10,0
129,11,0,1200,0,0,14,2,57.0,14.2,7,482,2,0
130,11,0,1200,0,0,15,4,57.0,45.7,12,466,12,0
131,11,0,1200,0,0,16,12,57.0,16.1,8,502,8,0
132,12,0,1800,0,0,1,9,57.0,15.5,7,414,-10,520
133,12,0,1800,0,0,2,12,57.0,22.0,10,500,2,620
134,12,0,1800,0,0,3,5,57.0,76.7,13,446,0,"1,750"
135,12,0,1800,0,0,4,16,57.0,15.8,8,446,-10,0
136,12,0,1800,0,0,5,14,57.0,7.4,3,502,-4,0
137,12,0,1800,0,0,6,2,55.0,10.8,5,478,-6,0
138,12,0,1800,0,0,7,13,57.0,13.4,6,492,4,0
139,12,0,1800,0,0,8,4,57.0,2.5,1,492,-2,0
140,12,0,1800,0,0,9,15,55.0,132.4,16,466,-2,0
141,12,0,1800,0,0,10,11,57.0,7.2,2,490,-2,0
142,12,0,1800,0,0,11,8,57.0,9.4,4,468,-10,0
143,12,0,1800,0,0,12,3,57.0,18.6,9,466,-20,0
144,12,0,1800,0,0,13,1,55.0,71.6,12,406,-6,0
145,12,0,1800,0,0,14,10,55.0,27.1,11,462,0,0
146,12,0,1800,0,0,15,7,57.0,103.3,15,520,0,0
147,12,0,1800,0,0,16,6,57.0,90.0,14,454,-4,0
148,1,1,1700,0,0,1,5,56.0,1.7,1,512,-10,110
149,1,1,1700,0,0,2,13,56.0,7.2,3,468,2,180
150,1,1,1700,0,0,3,15,55.0,37.9,8,504,28,700
151,1,1,1700,0,0,4,3,56.0,34.3,7,502,-12,0
152,1,1,1700,0,0,5,12,54.0,5.4,2,486,-8,0
153,1,1,1700,0,0,6,14,56.0,66.4,10,508,-8,0
154,1,1,1700,0,0,7,11,54.0,12.2,5,478,2,0
155,1,1,1700,0,0,8,10,56.0,162.8,12,444,-2,0
156,1,1,1700,0,0,9,2,56.0,74.9,11,482,-4,0
157,1,1,1700,0,0,10,8,56.0,203.5,14,470,-4,0
158,1,1,1700,0,0,11,7,56.0,28.6,6,492,0,0
159,1,1,1700,0,0,12,9,51.0,42.4,9,458,0,0
160,1,1,1700,0,0,13,4,56.0,7.8,4,532,-4,0
161,1,1,1700,0,0,14,6,51.0,449.9,15,482,-4,0
162,1,1,1700,0,0,15,1,54.0,173.9,13,474,-14,0
163,2,0,1200,0,0,1,10,54.0,5.4,3,472,-8,190
