,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
0,1800,0,1,1,54,1.4,1,-16,3,1800,4,2,110
1,1800,0,2,3,54,3.5,2,-8,2,1800,5,2,110
2,1800,0,3,4,51,46.6,6,6,10,1400,1,2,470
3,1800,0,4,9,51,56.8,7,-8,4,1800,4,7,0
4,1800,0,5,5,54,140.3,9,0,9,1800,8,7,0
5,1800,0,6,8,54,9.7,3,8,3,1800,11,12,0
6,1800,0,7,2,54,114.7,8,2,5,1800,2,5,0
7,1800,0,8,7,54,26.1,5,-4,5,1800,9,8,0
8,1800,0,9,6,54,16.4,4,0,4,1400,13,3,0
9,2000,0,1,10,54,9.5,3,-2,2,2000,5,7,380
10,2000,0,2,6,54,5.7,2,-2,3,2000,10,4,320
11,2000,0,3,8,56,9.8,4,0,5,2000,10,5,420
12,2000,0,4,7,56,1.6,1,-6,2,1800,8,1,0
13,2000,0,5,3,54,27.3,7,18,11,1800,10,9,0
14,2000,0,6,14,56,252.4,14,-22,14,1600,12,12,0
15,2000,0,7,12,56,14.1,6,-6,4,2000,7,11,0
16,2000,0,8,11,53,10,5,-2,5,2000,12,7,0
17,2000,0,9,2,54,87.4,9,-4,8,2600,4,8,0
18,2000,0,10,1,54,174.7,11,-10,10,1200,3,11,0
19,2000,0,11,9,53,84.2,8,2,9,1700,6,6,0
20,2000,0,12,5,54,186.4,12,0,13,1600,15,12,0
21,2000,0,13,13,56,100.8,10,0,5,2000,13,10,0
22,2000,0,14,4,56,223.2,13,-4,12,2000,17,15,0
23,1500,0,1,1,54,10.7,4,0,5,1500,1,4,230
24,1500,0,2,8,54,67,8,0,5,1500,8,8,790
25,1500,0,3,3,54,1.5,1,0,5,1500,3,1,110
26,1500,0,4,4,54,7,3,0,5,1500,4,3,0
27,1500,0,5,2,54,5.2,2,0,5,1500,2,2,0
28,1500,0,6,5,54,18.8,5,0,5,1500,5,5,0
29,1500,0,7,9,54,26.9,6,0,5,1500,9,6,0
30,1500,0,8,10,54,42.7,7,0,5,1500,10,7,0
31,1500,0,9,7,54,106.1,10,0,5,1500,7,10,0
32,1200,0,1,2,52,4.3,3,-4,2,1200,3,12,170
33,1200,0,2,6,55,6.1,4,-6,3,1200,4,4,190
34,1200,0,3,5,49,21.6,8,-6,8,1200,7,6,400
35,1200,0,4,1,55,21.3,7,-2,8,1200,9,5,0
36,1200,0,5,8,52,3.3,1,2,3,1400,4,1,0
37,1200,0,6,10,49,13.3,6,-4,6,1200,6,8,0
38,1200,0,7,9,52,9.1,5,-2,7,1400,3,4,0
39,1200,0,8,12,52,106.3,10,-12,12,2000,1,12,0
40,1200,0,9,11,54,69.8,9,-6,11,1200,15,10,0
41,1200,0,10,4,55,3.9,2,-10,5,1200,1,1,0
