,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
0,1,1,1700,0,0,1,11,51.0,12.7,5,476,-4,350
0,1,0,1200,0,0,1,1,54.0,5.7,4,422,6,160
0,1,1,1200,0,0,1,15,56.0,2.0,1,462,0,110
0,1,1,1200,0,0,1,10,53.0,2.6,2,504,0,110
0,1,1,1200,0,0,1,14,56.0,2.3,1,486,2,110
0,1,1,1700,1,1,1,5,54.0,1.9,1,466,-2,110
0,1,0,1800,0,0,1,1,54.0,1.1,1,458,4,100
1,1,0,1200,0,0,2,6,54.0,5.5,3,446,10,170
1,1,1,1200,0,0,2,16,56.0,5.2,2,458,4,150
1,1,1,1200,0,0,2,3,56.0,6.7,2,478,4,140
1,1,0,1800,0,0,2,6,54.0,7.6,2,488,6,130
1,1,1,1700,0,0,2,3,56.0,2.8,1,472,0,120
1,1,1,1700,1,1,2,1,54.0,3.1,2,470,-2,120
1,1,1,1200,0,0,2,7,54.0,2.6,1,440,-2,110
2,1,1,1200,0,0,3,13,54.0,45.1,10,432,20,640
2,1,1,1700,1,1,3,4,54.0,88.1,12,448,-16,610
2,1,1,1200,0,0,3,6,56.0,7.6,4,442,12,180
2,1,1,1200,0,0,3,1,56.0,8.2,5,466,-2,180
2,1,1,1700,0,0,3,10,53.0,5.4,3,468,6,170
2,1,0,1200,0,0,3,12,54.0,3.5,1,426,0,130
2,1,0,1800,0,0,3,3,54.0,8.3,3,480,-6,0
3,1,0,1200,0,0,4,4,54.0,31.1,8,462,-2,0
3,1,1,1200,0,0,4,9,56.0,48.5,10,464,8,0
3,1,1,1200,0,0,4,8,54.0,21.7,8,420,6,0
3,1,1,1200,0,0,4,5,56.0,7.5,4,470,-6,0
3,1,1,1700,0,0,4,5,53.0,28.1,7,468,-4,0
3,1,1,1700,1,1,4,12,54.0,41.7,8,438,-6,0
3,1,0,1800,0,0,4,4,54.0,46.7,5,460,-8,0
4,1,0,1200,0,0,5,8,54.0,4.5,2,412,14,0
